# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
14252,63068,25532,15200
14259,33230,34030,19574
14267,73470,15588,25184
14275,34261,24955,37441
14283,50169,12939,30925
14290,39922,45708,24762
14297,90054,33533,29968
14307,88234,42324,32802
14318,64769,32682,30177
14326,81618,28852,40800
14334,36075,39052,22351
14342,64680,33052,31206
14349,46571,17610,36179
14358,79763,33291,40727
14367,74474,24634,21466
14375,57722,17870,36960
14384,34392,39364,30818
14391,61380,39352,25578
14400,68578,18904,35114
14408,51842,8478,16278
14417,91064,38944,34680
14424,53897,34416,13911
14433,62583,39569,28143
14442,50217,18990,11791
14452,73114,20148,27802
14462,23180,20962,28580
14470,22636,26664,21454
14482,33674,21939,16722
14490,22804,21458,24896
14498,51287,64660,81062
14505,62960,20668,35616
14512,26034,21120,21969
14519,56602,45080,29572
14527,49921,46504,100044
14535,71040,17670,30936
14543,41174,20570,36448
14550,29462,35356,26978
14559,24113,25962,21703
14567,53133,63907,89137
14576,51396,50630,119632
14583,25773,10275,30702
14594,71774,25685,18029
14601,73558,14192,28364
14610,30843,22010,36449
14619,24390,22346,21678
14627,61252,39254,31949
14636,34216,5921,26770
14644,54064,45169,21723
14651,38177,19116,37932
14658,36494,37435,20250
14665,53210,21418,11674
14673,74752,26220,20294
14680,93030,31416,31232
14687,22808,14009,24415
14695,37693,21945,15524
14704,49752,46472,36761
14712,26628,23054,19052
14721,26250,18206,33255
14728,31184,16976,17034
14735,83584,22030,28938
14747,63314,31676,36340
14755,30091,35632,23689
14764,70480,17612,19196
14772,60765,39707,25313
14780,63280,38752,27376
14789,29469,33976,25868
14797,72032,32480,21782
14804,39363,44919,21716
14815,69775,25893,41781
14823,22762,19400,27186
14830,51916,19635,35623
14839,22304,25492,21110
14847,76670,29014,21836
14855,33017,24329,35881
14862,30953,21563,35841
14870,89028,38282,30682
14878,23564,29620,22778
14887,36592,41898,31361
14895,50174,19785,12462
14902,70081,24903,40903
14910,40376,17562,35466
14919,6174,38772,34623
14930,31163,10675,32016
14939,28796,18950,34460
14947,24347,30683,26077
14954,23850,26951,22499
14961,27251,18271,33957
14968,45223,64238,81118
14977,23548,30582,23638
14984,69368,16159,33949
14992,63763,35805,30329
15000,61046,22930,18214
15007,21740,21298,26207
15017,78636,33594,20928
15024,39904,27081,38884
15031,25735,21546,20106
15040,45938,17796,12297
15047,34708,40625,30181
15055,65280,37176,29132
15063,50050,43085,37197
15072,54686,20678,38728
15080,78322,41718,39310
15087,47163,64310,74706
15094,19538,23074,23216
15102,72858,40012,41097
15110,9394,35374,28360
15118,25086,15280,24760
15127,27253,47284,33727
15138,60560,23828,17189
15145,47646,48873,28109
15152,73490,25316,21616
15159,27327,35549,26154
15169,51714,6113,23826
15177,33682,40526,31501
15184,53036,20070,12070
15192,47757,65054,79668
15199,37478,23410,16702
15208,55321,16005,34814
15215,78137,23940,23272
15224,25731,20504,23575
15232,44526,12400,13134
15239,59019,20175,13168
15246,39981,18501,34981
15253,68928,20332,31734
15261,34460,33702,16562
15269,52127,16472,32868
15276,57350,33540,12954
15285,37160,42808,25164
15292,38188,37846,16188
15299,49632,10462,15272
15308,28660,45125,31809
15316,67821,14510,33810
15325,56020,34803,16486
15335,35659,39797,23854
15345,71604,29450,19120
15353,43086,34214,13392
15362,43458,34792,15534
15369,65744,22936,37672
15379,43553,14640,33729
15388,69392,33546,23862
15397,62256,27332,16934
15405,67844,37867,24775
15412,21416,29813,21883
15423,79462,15186,26330
15431,39856,21375,13524
15438,32888,23174,36676
15445,28613,17928,19163
15452,62750,37773,22295
15466,43566,35188,13328
15473,23606,13080,31424
15483,45624,47246,34564
15490,49239,46928,33990
15497,20612,29244,22916
15505,49969,22274,14971
15512,30854,37261,26051
15520,67326,36298,24656
15529,79202,19746,24187
15536,24642,28434,21456
15545,32016,21442,36178
15553,66794,38015,25230
15562,21116,31592,20938
15576,35554,30210,38448
15584,32964,19540,19446
15592,60370,37131,15990
15602,53356,46722,30546
15611,61198,38414,22668
15618,36522,24448,16043
15625,89018,16908,26868
15635,35714,17465,37860
15645,50741,43996,133707
15653,62124,39904,33402
15660,46318,33484,15678
15667,40326,19634,39112
15674,57614,33577,15782
15682,31341,19785,36135
15690,39851,16934,35204
15699,36706,15734,14854
15706,80422,22860,18986
15713,51712,8436,29277
15720,61440,36696,35304
15730,50536,9704,28503
15737,30484,24140,38302
15745,35424,19316,36976
15752,21087,24086,24112
15761,22804,17726,25907
15768,40108,37334,19228
15776,73174,9825,29272
15783,49970,45878,34930
15791,60350,30458,17732
15798,33556,39950,30045
15806,81552,37380,25024
15814,21124,18059,27901
15823,63566,25688,14728
15832,27440,33418,26490
15839,47240,20954,37074
15846,50158,33268,15167
15854,72004,20117,21039
15864,22594,15702,33761
15873,82782,36158,25524
15883,66174,35430,22163
15891,4588,41174,34530
15900,53199,10117,30890
15908,22842,14812,28446
15916,74592,29360,21416
15923,73613,22570,26056
15931,49974,63319,79680
15940,92888,32830,31186
15949,75934,34771,20064
15958,40852,25550,39082
15965,64350,37412,25438
15973,37867,24456,38562
15981,55012,44880,118228
15990,34961,25550,38106
15997,40418,23576,38402
16007,21436,17326,28808
16015,41893,8769,29320
16023,68587,41470,27851
16030,56756,35210,15542
16037,58323,38999,18114
16048,32265,38839,24231
16058,29784,8082,29353
16068,62638,26518,15238
16075,33909,20146,37590
16083,44357,19264,13133
16091,63266,27720,16590
16099,44716,12626,29220
16106,22171,17022,28805
16115,65906,23041,36812
16125,35804,22063,13290
16134,55188,46117,23422
16141,42472,33802,12393
16148,23129,13752,28794
16157,74402,25574,22636
16166,49672,20090,13010
16174,62180,49709,89842
16182,55148,35484,16852
16189,54890,59032,67698
16197,49649,37220,15860
16206,64567,24002,14106
16213,30662,40888,30324
16221,49428,47854,28996
16229,22816,19567,27802
16236,32525,37700,23455
16244,64494,24942,36752
16251,21932,25931,21492
16259,65995,15777,34393
16267,44683,35682,14556
16276,75008,15020,20902
16285,61690,19186,14828
16293,76388,37945,20169
16302,54382,52809,128860
16310,74512,36496,41568
16317,28803,9234,30078
16324,61545,31867,36853
16333,23040,36472,22023
